nameOfSubject,Subcategory:credits:class; class; class|category; category; category,Subcategory:credits:class; class; class|category; category; category,Subcategory:credits:class; class; class|category; category; category,Subcategory:credits:class; class; class|category; category; category
English/Language Arts,Freshman English:2:English 9; Honors English 9,Sophomore English:2:English 10; Honors English 10,Advanced English:4:AP Lit & Comp; AP Lang & Comp; AP Seminar; AP Research; IB English HL Year 1; IB English HL Year 2; ACP Comp; ACP Lit; Composition; English 12; Speech; ACP Speech; ACP Discovering Lit; Creative Writing; Debate; Critical Thinking; Genres in Lit; Themes in Lit; Journalism; Advanced Journalism
Social Studies,U.S. History:2:U.S. History; AP U.S. History,Government:1:Government; AP Government,Economics:1:Economics; AP Microeconomics; AP Macroeconomics
Mathematics,Algebra I:2:Algebra I; Honors Algebra I,Other Math:4:|Math
Science,Biology:2:Biology; Honors Biology,Other Science Course:2:|Science
P.E. & Health,Health:1:Health,Physical Education:2:Physical Education
Career Academic Sequence,Career Academic Sequence:5:|Career
Business/Tech,Business/Computer Science:1:|Business; Computer Science
Flex Credits,Flexes:5:|Flex
Required Elective Courses,Electives:6:|Elective
